Player_name,Player_url,Nation,Pos,Age,MP,Starts,Min,Team
Bernardo Silva,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva,POR,"MF,FW", 29,33,29,2670,Manchester City
Ederson,https://fbref.com/en/players/3bb7b8b4/Ederson,BRA,GK, 30,26,26,2320,Manchester City
Rúben Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias,POR,DF, 27,27,25,2271,Manchester City
İlkay Gündoğan,https://fbref.com/en/players/819b3158/Ilkay-Gundogan,GER,MF, 33,33,25,2223,Manchester City
Mateo Kovačić,https://fbref.com/en/players/79c0821a/Mateo-Kovacic,CRO,MF, 30,31,25,2198,Manchester City
Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,SUI,DF, 29,26,23,2014,Manchester City
Rico Lewis,https://fbref.com/en/players/b57e066e/Rico-Lewis,ENG,"DF,MF", 19,28,21,1893,Manchester City
Sávio,https://fbref.com/en/players/fe6e7156/Savio,BRA,"FW,MF", 20,29,21,1766,Manchester City
Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden,ENG,"MF,FW", 24,28,20,1777,Manchester City
Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,BEL,"MF,FW", 33,28,19,1702,Manchester City
Matheus Nunes,https://fbref.com/en/players/e6af02e0/Matheus-Nunes,POR,"DF,MF", 25,26,19,1674,Manchester City
Jeremy Doku,https://fbref.com/en/players/fffea3e5/Jeremy-Doku,BEL,"FW,MF", 22,29,16,1516,Manchester City
Omar Marmoush,https://fbref.com/en/players/0e0102eb/Omar-Marmoush,EGY,"FW,MF", 25,16,14,1175,Manchester City
Stefan Ortega,https://fbref.com/en/players/c1242d4e/Stefan-Ortega,GER,GK, 31,13,12,1100,Manchester City
Kyle Walker,https://fbref.com/en/players/86dd77d1/Kyle-Walker,ENG,DF, 34,15,9,970,Manchester City
Nicolás González,https://fbref.com/en/players/2c56a792/Nicolas-Gonzalez,ESP,MF, 22,11,9,760,Manchester City
Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake,NED,DF, 29,10,8,678,Manchester City
Jack Grealish,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish,ENG,"FW,MF", 28,20,7,721,Manchester City
John Stones,https://fbref.com/en/players/5eecec3d/John-Stones,ENG,"DF,MF", 30,11,6,548,Manchester City
Nico O’Reilly,https://fbref.com/en/players/91ca4a16/Nico-OReilly,ENG,DF, 19,9,6,528,Manchester City
Abdukodir Khusanov,https://fbref.com/en/players/d17ce930/Abdukodir-Khusanov,UZB,DF, 20,6,6,503,Manchester City
James Mcatee,https://fbref.com/en/players/96593e89/James-Mcatee,ENG,"MF,FW", 21,15,3,349,Manchester City
Jahmai Simpson-Pusey,https://fbref.com/en/players/383b10fd/Jahmai-Simpson-Pusey,ENG,DF, 18,2,1,96,Manchester City
Rodri,https://fbref.com/en/players/6434f10d/Rodri,ESP,MF, 28,3,1,73,Manchester City
Divin Mubama,https://fbref.com/en/players/92868cb5/Divin-Mubama,ENG,FW, 19,1,0,28,Manchester City
Oscar Bobb,https://fbref.com/en/players/eed2427e/Oscar-Bobb,NOR,FW, 21,3,0,16,Manchester City
Claudio Echeverri,https://fbref.com/en/players/49a605df/Claudio-Echeverri,ARG,FW, 18,1,0,6,Manchester City
Vitor Reis,https://fbref.com/en/players/c4ce0ab5/Vitor-Reis,BRA,DF, 18,1,0,1,Manchester City
Moisés Caicedo,https://fbref.com/en/players/16264a81/Moises-Caicedo,ECU,"MF,DF", 22,38,38,3351,Chelsea
Cole Palmer,https://fbref.com/en/players/dc7f8a28/Cole-Palmer,ENG,"MF,FW", 22,37,36,3191,Chelsea
Levi Colwill,https://fbref.com/en/players/700783e7/Levi-Colwill,ENG,DF, 21,35,35,3149,Chelsea
Marc Cucurella,https://fbref.com/en/players/1daec722/Marc-Cucurella,ESP,DF, 26,36,33,2988,Chelsea
Enzo Fernández,https://fbref.com/en/players/5ff4ab71/Enzo-Fernandez,ARG,MF, 23,36,32,2947,Chelsea
Robert Sánchez,https://fbref.com/en/players/6a713852/Robert-Sanchez,ESP,GK, 26,32,32,2880,Chelsea
Nicolas Jackson,https://fbref.com/en/players/9c36ed83/Nicolas-Jackson,SEN,FW, 23,30,28,2220,Chelsea
Noni Madueke,https://fbref.com/en/players/bf34eebd/Noni-Madueke,ENG,FW, 22,32,27,2033,Chelsea
Pedro Neto,https://fbref.com/en/players/7ba2eaa9/Pedro-Neto,POR,FW, 24,35,24,2269,Chelsea
Malo Gusto,https://fbref.com/en/players/d56b9520/Malo-Gusto,FRA,DF, 21,32,19,1862,Chelsea
Jadon Sancho,https://fbref.com/en/players/dbf053da/Jadon-Sancho,ENG,FW, 24,31,19,1764,Chelsea
Tosin Adarabioyo,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,ENG,DF, 26,22,15,1409,Chelsea
Wesley Fofana,https://fbref.com/en/players/132a82f1/Wesley-Fofana,FRA,DF, 23,14,14,1172,Chelsea
Reece James,https://fbref.com/en/players/1265a93a/Reece-James,ENG,"DF,MF", 24,19,12,1063,Chelsea
Trevoh Chalobah,https://fbref.com/en/players/5515376c/Trevoh-Chalobah,ENG,DF, 25,13,11,910,Chelsea
Roméo Lavia,https://fbref.com/en/players/ecad9aa5/Romeo-Lavia,BEL,MF, 20,16,11,797,Chelsea
Christopher Nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,FRA,FW, 26,27,9,921,Chelsea
Filip Jørgensen,https://fbref.com/en/players/0107757e/Filip-Jorgensen,DEN,GK, 22,6,6,540,Chelsea
Axel Disasi,https://fbref.com/en/players/ad82197c/Axel-Disasi,FRA,DF, 26,6,4,364,Chelsea
João Félix,https://fbref.com/en/players/8aafd64f/Joao-Felix,POR,"FW,MF", 24,12,3,369,Chelsea
Benoît Badiashile,https://fbref.com/en/players/06df8256/Benoit-Badiashile,FRA,DF, 23,5,3,334,Chelsea
Kiernan Dewsbury-Hall,https://fbref.com/en/players/5c74c0f5/Kiernan-Dewsbury-Hall,ENG,"MF,FW", 25,13,2,264,Chelsea
Joshua Acheampong,https://fbref.com/en/players/b7e62e1d/Joshua-Acheampong,ENG,DF, 18,4,2,170,Chelsea
Tyrique George,https://fbref.com/en/players/e6f7797e/Tyrique-George,ENG,FW, 18,8,1,183,Chelsea
Renato Veiga,https://fbref.com/en/players/fc8fcbd1/Renato-Veiga,POR,"DF,MF", 21,7,1,181,Chelsea
Mykhailo Mudryk,https://fbref.com/en/players/049a888d/Mykhailo-Mudryk,UKR,FW, 23,7,1,151,Chelsea
Marc Guiu,https://fbref.com/en/players/d3d774cc/Marc-Guiu,ESP,FW, 18,3,0,73,Chelsea
Mathis Amougou,https://fbref.com/en/players/f93cca97/Mathis-Amougou,FRA,MF, 18,1,0,8,Chelsea
