Date,Venue,Result,GF,GA,Opponent,Team
2025-03-08, Away, L, 1, 3,Liverpool,Southampton
2025-03-15, Home, L, 1, 2,Wolves,Southampton
2025-04-02, Home, D, 1, 1,Crystal Palace,Southampton
2025-04-06, Away, L, 1, 3,Tottenham,Southampton
2025-04-12, Home, L, 0, 3,Aston Villa,Southampton
2025-04-19, Away, D, 1, 1,West Ham,Southampton
2025-04-26, Home, L, 1, 2,Fulham,Southampton
2025-05-03, Away, L, 0, 2,Leicester City,Southampton
2025-05-10, Home, D, 0, 0,Manchester City,Southampton
2025-05-18, Away, L, 0, 2,Everton,Southampton
2025-05-25, Home, L, 1, 2,Arsenal,Southampton
